date,open,high,low,close,volume
2023-04-24 13:30:00+00:00,164.975,165.24,164.415,165.06,60755.0
2023-04-24 13:40:00+00:00,165.04,165.46,164.94,165.13,14699.0
2023-04-24 13:50:00+00:00,165.13,165.415,165.075,165.17,6410.0
2023-04-24 14:00:00+00:00,165.175,165.18,164.82,164.97,11225.0
2023-04-24 14:10:00+00:00,164.955,165.28,164.82,165.26,15571.0
2023-04-24 14:20:00+00:00,165.26,165.425,165.165,165.295,10654.0
2023-04-24 14:30:00+00:00,165.285,165.36,164.47,164.5,8380.0
2023-04-24 14:40:00+00:00,164.495,164.52,164.165,164.25,12247.0
2023-04-24 14:50:00+00:00,164.25,164.4,164.02,164.035,13455.0
2023-04-24 15:00:00+00:00,164.04,164.23,163.9,164.15,8376.0
2023-04-24 15:10:00+00:00,164.145,164.38,164.07,164.355,8748.0
2023-04-24 15:20:00+00:00,164.36,164.41,164.15,164.17,6981.0
2023-04-24 15:30:00+00:00,164.17,164.33,164.1,164.135,12273.0
2023-04-24 15:40:00+00:00,164.135,164.32,163.99,164.15,13159.0
2023-04-24 15:50:00+00:00,164.145,164.21,164.0,164.14,7993.0
2023-04-24 16:00:00+00:00,164.14,164.31,164.09,164.105,8317.0
2023-04-24 16:10:00+00:00,164.11,164.245,164.04,164.245,7918.0
2023-04-24 16:20:00+00:00,164.245,164.35,164.21,164.325,12346.0
2023-04-24 16:30:00+00:00,164.325,164.605,164.285,164.605,5837.0
2023-04-24 16:40:00+00:00,164.605,164.62,164.395,164.49,4305.0
2023-04-24 16:50:00+00:00,164.495,164.62,164.415,164.52,2196.0
2023-04-24 17:00:00+00:00,164.515,164.55,164.385,164.5,9507.0
2023-04-24 17:10:00+00:00,164.5,164.875,164.475,164.665,9258.0
2023-04-24 17:20:00+00:00,164.665,164.885,164.625,164.78,3451.0
2023-04-24 17:30:00+00:00,164.78,164.93,164.73,164.865,4199.0
2023-04-24 17:40:00+00:00,164.865,164.9,164.755,164.895,8561.0
2023-04-24 17:50:00+00:00,164.895,165.215,164.885,165.135,6654.0
2023-04-24 18:00:00+00:00,165.14,165.355,165.14,165.18,18398.0
2023-04-24 18:10:00+00:00,165.175,165.44,165.17,165.255,9396.0
2023-04-24 18:20:00+00:00,165.25,165.335,165.1,165.175,6573.0
2023-04-24 18:30:00+00:00,165.19,165.21,165.01,165.05,4851.0
2023-04-24 18:40:00+00:00,165.045,165.165,164.98,165.145,2718.0
2023-04-24 18:50:00+00:00,165.145,165.31,165.135,165.295,13130.0
2023-04-24 19:00:00+00:00,165.3,165.37,165.235,165.345,10450.0
2023-04-24 19:10:00+00:00,165.345,165.435,165.275,165.385,5689.0
2023-04-24 19:20:00+00:00,165.39,165.405,165.28,165.34,10616.0
2023-04-24 19:30:00+00:00,165.34,165.59,165.285,165.42,12117.0
2023-04-24 19:40:00+00:00,165.42,165.545,165.275,165.455,15120.0
2023-04-24 19:50:00+00:00,165.35,165.445,165.085,165.355,73030.0
